STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,TOBS
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170301,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170302,-9999,-9999,0.15,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170303,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170304,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170305,-9999,-9999,0,-9999,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170306,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170307,-9999,-9999,0.06,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170308,-9999,-9999,0.12,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170309,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170310,-9999,-9999,0.14,2,2,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170311,-9999,-9999,0.14,2,2,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170312,-9999,-9999,0,2,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170313,-9999,-9999,0,1,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170314,-9999,-9999,0.73,6,6,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170315,-9999,-9999,1.37,10.5,7.5,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170316,-9999,-9999,0,10,0,-9999,-9999,-9999,-9999
GHCND:US1NJBG0023,OAKLAND 0.9 SSE NJ US,20170317,-9999,-9999,0,9,0,-9999,-9999,-9999,-9999
